player_name,player_slug,destination_school,destination_school_slug,destination_conference,destination_level,source_school,source_school_slug,source_conference,source_level,transfer_year,first_big_west_season,commit_date,signed_date,enrolled_date,target_event_type,target_event_date,source_event_type,source_event_date,pathway_type,position,height,weight,class,hs_grad_year,juco_flag,redshirt_flag,model_training_window,phase1_d2_transfer_match,phase1_model_training_eligible,phase1_review_status,source_url
Zach Lee,zach-lee2,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Loyola University New Orleans,loyola-university-new-orleans,,NAIA,2026,2026-27,2026-04-20,,,COMMITMENT,2026-04-20,TRANSFER,2026-03-19,naia_big_west,Shooting Guard,76,0,COLLEGE_JUNIOR,2022,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/zach-lee2
Andrew McConnell,andrew-mcconnell,Cal State Fullerton,cal-state-fullerton,Big West,D1,Cumberland University,cumberland-university,,NAIA,2026,2026-27,2026-04-21,,,COMMITMENT,2026-04-21,TRANSFER,2026-04-21,naia_big_west,Point Guard,73,170,COLLEGE_JUNIOR,2021,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/andrew-mcconnell
Malcolm Bell,malcolm-bell,Cal State Fullerton,cal-state-fullerton,Big West,D1,Cal Poly Pomona,cal-poly-pomona,CCAA,D2,2026,2026-27,2026-04-22,,,COMMITMENT,2026-04-22,TRANSFER,2026-03-10,d2_big_west,Shooting Guard,77,0,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/malcolm-bell
Marley Zeller,marley-zeller,Cal State Fullerton,cal-state-fullerton,Big West,D1,Loyola Marymount,loyola-marymount,West Coast,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-03-30,d1_big_west,Shooting Guard,77,190,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/marley-zeller
Matthew Willenborg,matthew-willenborg,Cal State Fullerton,cal-state-fullerton,Big West,D1,Central Oklahoma,central-oklahoma,MIAA,D2,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-03-10,d2_big_west,Small Forward,79,189,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/matthew-willenborg
Rockwell Reynolds,rockwell-reynolds,Cal State Fullerton,cal-state-fullerton,Big West,D1,Citrus College,citrus-college2,,JUCO,2026,2026-27,,2026-05-04,,SIGNING,2026-05-04,ENROLLMENT,2025-09-06,juco_big_west,Power Forward,81,0,COLLEGE_SOPHOMORE,2023,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/rockwell-reynolds
Tiernan Stynes,tiernan-stynes,Cal State Fullerton,cal-state-fullerton,Big West,D1,Quincy,quincy,GLVC,D2,2026,2026-27,2026-03-30,,,COMMITMENT,2026-03-30,TRANSFER,2026-03-03,d2_big_west,Point Guard,78,180,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/tiernan-stynes
B.J. Omot,bj-omot,Cal State Northridge,cal-state-northridge,Big West,D1,California,california,ACC,D1,2026,2026-27,2026-05-01,,,COMMITMENT,2026-05-01,TRANSFER,2026-03-23,d1_big_west,Small Forward,80,175,COLLEGE_SENIOR,2022,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/bj-omot
Brooklyn Hicks,brooklyn-hicks,Cal State Northridge,cal-state-northridge,Big West,D1,Montana,montana,Big Sky,D1,2026,2026-27,2026-04-22,,,COMMITMENT,2026-04-22,TRANSFER,2026-03-26,d1_big_west,Shooting Guard,75,190,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/brooklyn-hicks
Caleb Smith,caleb-smith,Cal State Northridge,cal-state-northridge,Big West,D1,Rider,rider,MAAC,D1,2026,2026-27,2026-04-29,,,COMMITMENT,2026-04-29,TRANSFER,2026-04-11,d1_big_west,Shooting Guard,77,205,COLLEGE_JUNIOR,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/caleb-smith
Daniel Culberson,daniel-culberson,Cal State Northridge,cal-state-northridge,Big West,D1,Howard College,howard-college2,,JUCO,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,ENROLLMENT,2024-08-22,juco_big_west,Point Guard,72,0,COLLEGE_SOPHOMORE,2024,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/daniel-culberson
Jael Martin,jael-martin,Cal State Northridge,cal-state-northridge,Big West,D1,Loyola Marymount,loyola-marymount,West Coast,D1,2026,2026-27,2026-05-01,,,COMMITMENT,2026-05-01,TRANSFER,2026-04-17,d1_big_west,Power Forward,80,205,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/jael-martin
Kéziah Ekissi,kziah-ekissi,Cal State Northridge,cal-state-northridge,Big West,D1,Oregon State,oregon-state,West Coast,D1,2026,2026-27,2026-05-07,,,COMMITMENT,2026-05-07,TRANSFER,2026-04-10,d1_big_west,Point Guard,75,210,COLLEGE_SOPHOMORE,2024,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kziah-ekissi
Mikah Ballew,mikah-ballew,Cal State Northridge,cal-state-northridge,Big West,D1,Portland,portland,West Coast,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-03-16,d1_big_west,Shooting Guard,77,200,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/mikah-ballew
Bol Dengdit,bol-dengdit,Hawaii,hawaii,Big West,D1,UC San Diego,uc-san-diego,Big West,D1,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-04-07,d1_big_west,Power Forward,83,200,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/bol-dengdit
Chance Trujillo,chance-trujillo,Hawaii,hawaii,Big West,D1,Utah Tech,utah-tech,WAC,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-04-01,d1_big_west,Point Guard,76,200,COLLEGE_SOPHOMORE,2021,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/chance-trujillo
Houran Dan,houran-dan,Hawaii,hawaii,Big West,D1,Seattle,seattle,West Coast,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-04-07,d1_big_west,Center,82,228,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/houran-dan
Jaden Matingou,jaden-matingou,Hawaii,hawaii,Big West,D1,Point Loma Nazarene,point-loma-nazarene,PacWest,D2,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-03-28,d2_big_west,Shooting Guard,75,175,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/jaden-matingou
Kellen Hampton,kellen-hampton,Hawaii,hawaii,Big West,D1,Pacific,pacific,West Coast,D1,2026,2026-27,2026-04-20,2026-05-28,,COMMITMENT,2026-04-20,TRANSFER,2026-04-17,d1_big_west,Small Forward,79,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kellen-hampton
Manie Joses,mansie-joses,Hawaii,hawaii,Big West,D1,Davidson,davidson,Atlantic 10,D1,2026,2026-27,2026-04-28,,,COMMITMENT,2026-04-28,TRANSFER,2026-04-08,d1_big_west,Small Forward,79,190,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/mansie-joses
"Marcus Adams, Jr.",marcus-adams-jr,Hawaii,hawaii,Big West,D1,Arizona State,arizona-state,Big XII,D1,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-03-19,d1_big_west,Small Forward,80,195,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/marcus-adams-jr
Tiger Cuff,tiger-cuff,Hawaii,hawaii,Big West,D1,No College Stats,no-college-stats,,HS,2026,2026-27,2026-04-14,,,COMMITMENT,2026-04-14,COMMITMENT,,hs_big_west,Shooting Guard,74,0,HS_SENIOR,2026,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/tiger-cuff
Zack Davidson,zack-davidson,Hawaii,hawaii,Big West,D1,Northern Arizona,northern-arizona,Big Sky,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-03-26,d1_big_west,Power Forward,80,224,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/zack-davidson
Blake Bahr,blake-bahr,Long Beach State,long-beach-state,Big West,D1,Snow College,snow-college2,,JUCO,2026,2026-27,2026-04-08,,,COMMITMENT,2026-04-08,ENROLLMENT,2025-09-10,juco_big_west,Point Guard,74,195,COLLEGE_FRESHMAN,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/blake-bahr
Brett Wright,brett-wright,Long Beach State,long-beach-state,Big West,D1,Trevecca Nazarene,trevecca-nazarene,GSC,D2,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-03-27,d2_big_west,Small Forward,79,195,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/brett-wright
Colin Ruffin,colin-ruffin,Long Beach State,long-beach-state,Big West,D1,Missouri Southern,missouri-southern,MIAA,D2,2026,2026-27,2026-05-04,,,COMMITMENT,2026-05-04,TRANSFER,2026-03-28,d2_big_west,Point Guard,76,193,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/colin-ruffin
Grgur Brčić,grgur-bri,Long Beach State,long-beach-state,Big West,D1,Bucknell,bucknell,Patriot League,D1,2026,2026-27,2026-05-07,2026-06-04,,COMMITMENT,2026-05-07,TRANSFER,2026-04-06,d1_big_west,Center,82,235,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/grgur-bri
Henry Lau,henry-cody-lau,Long Beach State,long-beach-state,Big West,D1,Pittsburgh,pittsburgh,ACC,D1,2026,2026-27,,2026-06-11,,SIGNING,2026-06-11,TRANSFER,2026-04-12,d1_big_west,Small Forward,79,195,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/henry-cody-lau
Jack Payne,jack-payne,Long Beach State,long-beach-state,Big West,D1,Idaho,idaho,Big Sky,D1,2026,2026-27,2026-04-21,,,COMMITMENT,2026-04-21,TRANSFER,2026-03-23,d1_big_west,Shooting Guard,78,195,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/jack-payne
Jaden Tengan,jaden-tengan,Long Beach State,long-beach-state,Big West,D1,Cal State Monterey Bay,cal-state-monterey-bay,CCAA,D2,2026,2026-27,2026-05-18,2026-05-28,,COMMITMENT,2026-05-18,TRANSFER,2026-03-11,d2_big_west,Point Guard,71,165,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/jaden-tengan
Kaleb Smith,kaleb-smith,Long Beach State,long-beach-state,Big West,D1,GCU,gcu,Mountain West,D1,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-04-03,d1_big_west,Power Forward,82,0,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kaleb-smith
McCaden Adams,mccaden-adams,Long Beach State,long-beach-state,Big West,D1,Snow College,snow-college2,,JUCO,2026,2026-27,2026-04-18,2026-04-29,,COMMITMENT,2026-04-18,ENROLLMENT,2024-04-24,juco_big_west,Point Guard,75,170,COLLEGE_SOPHOMORE,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/mccaden-adams
Noah Amenhauser,noah-amenhauser,Long Beach State,long-beach-state,Big West,D1,Oregon State,oregon-state,West Coast,D1,2026,2026-27,2026-04-24,,,COMMITMENT,2026-04-24,TRANSFER,2026-04-06,d1_big_west,Center,86,270,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/noah-amenhauser
Yohann Sissoko,yohann-sissoko,Long Beach State,long-beach-state,Big West,D1,Florida Atlantic,florida-atlantic,American,D1,2026,2026-27,,2026-05-07,,SIGNING,2026-05-07,TRANSFER,2026-04-13,d1_big_west,Shooting Guard,78,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/yohann-sissoko
Clarence Massamba,clarence-massamba,UC Davis,uc-davis,Big West,D1,Tennessee,tennessee,SEC,D1,2026,2026-27,2026-04-30,,,COMMITMENT,2026-04-30,TRANSFER,2026-04-07,d1_big_west,Shooting Guard,77,185,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/clarence-massamba
Veniamin Abosi,veniamin-abosi,UC Davis,uc-davis,Big West,D1,San Francisco,san-francisco,West Coast,D1,2026,2026-27,2026-05-23,,,COMMITMENT,2026-05-23,TRANSFER,2026-04-09,d1_big_west,Shooting Guard,78,0,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/veniamin-abosi
Nils Cooper,nils-cooper,UC Irvine,uc-irvine,Big West,D1,UC Davis,uc-davis,Big West,D1,2026,2026-27,2026-05-19,,,COMMITMENT,2026-05-19,TRANSFER,2026-03-30,d1_big_west,Shooting Guard,77,180,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/nils-cooper
Olivier Rioux,olivier-rioux,UC Irvine,uc-irvine,Big West,D1,Florida,florida,SEC,D1,2026,2026-27,,2026-04-30,,SIGNING,2026-04-30,TRANSFER,2026-03-31,d1_big_west,Center,93,305,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/olivier-rioux
Abraham Oyeadier,abraham-oyeadier,UC Riverside,uc-riverside,Big West,D1,West Virginia,west-virginia,Big XII,D1,2026,2026-27,,2026-04-24,,SIGNING,2026-04-24,TRANSFER,2026-04-13,d1_big_west,Center,81,221,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/abraham-oyeadier
Aidan Rice,aidan-rice,UC Riverside,uc-riverside,Big West,D1,Western Washington,western-washington,GNAC,D2,2026,2026-27,2026-04-01,2026-04-09,,COMMITMENT,2026-04-01,TRANSFER,2026-03-10,d2_big_west,Point Guard,74,170,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/aidan-rice
Dallas Washington,dallas-washington,UC Riverside,uc-riverside,Big West,D1,Long Beach State,long-beach-state,Big West,D1,2026,2026-27,2026-04-14,2026-04-23,,COMMITMENT,2026-04-14,TRANSFER,2026-04-02,d1_big_west,Power Forward,81,190,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/dallas-washington
Devon Malcolm,devon-malcolm,UC Riverside,uc-riverside,Big West,D1,California Baptist,california-baptist,WAC,D1,2026,2026-27,2026-04-12,2026-04-14,,COMMITMENT,2026-04-12,TRANSFER,2026-04-07,d1_big_west,Shooting Guard,76,185,COLLEGE_SENIOR,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/devon-malcolm
Easton Reagan,easton-reagan,UC Riverside,uc-riverside,Big West,D1,Northwest Nazarene,northwest-nazarene,GNAC,D2,2026,2026-27,2026-03-30,2026-04-08,,COMMITMENT,2026-03-30,TRANSFER,2026-03-16,d2_big_west,Shooting Guard,76,190,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/easton-reagan
"James Evans, Jr.",james-evans,UC Riverside,uc-riverside,Big West,D1,Cal State Northridge,cal-state-northridge,Big West,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-03-19,d1_big_west,Small Forward,79,212,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/james-evans
Tony Duckett,tony-duckett,UC Riverside,uc-riverside,Big West,D1,Saint Mary's,saint-marys,West Coast,D1,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-04-07,d1_big_west,Shooting Guard,76,185,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/tony-duckett
Tyus Parrish-Tillman,tyus-parrish-tillman,UC Riverside,uc-riverside,Big West,D1,Biola,biola,PacWest,D2,2026,2026-27,2026-03-29,2026-04-07,,COMMITMENT,2026-03-29,TRANSFER,2026-03-14,d2_big_west,Power Forward,80,220,COLLEGE_JUNIOR,2022,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/tyus-parrish-tillman
Jordan Johnson,jordan-johnson8,UC San Diego,uc-san-diego,Big West,D1,Calhoun Community College,calhoun-community-college,,JUCO,2026,2026-27,2026-05-09,,,COMMITMENT,2026-05-09,ENROLLMENT,2025-09-22,juco_big_west,Point Guard,75,205,COLLEGE_SOPHOMORE,2024,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/jordan-johnson8
Kayde Dotson,kayde-dotson,UC San Diego,uc-san-diego,Big West,D1,Loyola Chicago,loyola-chicago,Atlantic 10,D1,2026,2026-27,2026-04-16,2026-04-17,,COMMITMENT,2026-04-16,TRANSFER,2026-04-06,d1_big_west,Point Guard,73,190,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kayde-dotson
Olavi Suutela,olavi-suutela,UC San Diego,uc-san-diego,Big West,D1,Oregon State,oregon-state,West Coast,D1,2026,2026-27,,2026-04-20,,SIGNING,2026-04-20,TRANSFER,2026-04-08,d1_big_west,Power Forward,82,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/olavi-suutela
Rahmir Barno,rahmir-barno,UC San Diego,uc-san-diego,Big West,D1,Florida Gulf Coast,florida-gulf-coast,ASUN,D1,2026,2026-27,2026-05-08,,,COMMITMENT,2026-05-08,TRANSFER,2026-04-07,d1_big_west,Point Guard,70,0,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/rahmir-barno
Antonio Chol,antonio-chol,UC Santa Barbara,uc-santa-barbara,Big West,D1,New Mexico,new-mexico,Mountain West,D1,2026,2026-27,2026-04-26,,,COMMITMENT,2026-04-26,TRANSFER,2026-04-12,d1_big_west,Small Forward,81,210,COLLEGE_JUNIOR,2022,TRUE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/antonio-chol
"Declan Duru, Jr.",declan-duru,UC Santa Barbara,uc-santa-barbara,Big West,D1,Texas,texas,SEC,D1,2026,2026-27,,2026-05-21,,SIGNING,2026-05-14,TRANSFER,2026-04-13,d1_big_west,Power Forward,80,235,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/declan-duru
Eric Dibami,eric-dibami,UC Santa Barbara,uc-santa-barbara,Big West,D1,Florida International,florida-international,C-USA,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-03-16,d1_big_west,Center,82,235,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/eric-dibami
R.J. Smith,rj-smith2,UC Santa Barbara,uc-santa-barbara,Big West,D1,DePaul,depaul,Big East,D1,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-04-14,d1_big_west,Point Guard,76,175,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/rj-smith2
Viljami Vartiainen,viljami-vartiainen,UC Santa Barbara,uc-santa-barbara,Big West,D1,Weber State,weber-state,Big Sky,D1,2026,2026-27,,2026-04-24,,SIGNING,2026-04-24,TRANSFER,2026-04-07,d1_big_west,Shooting Guard,78,0,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/viljami-vartiainen
Lathaniel Bastian,lathaniel-bastian,Cal State Fullerton,cal-state-fullerton,Big West,D1,Angelo State,angelo-state,LSC,D2,2022,2022-23,,,2022-09-20,ENROLLMENT,2022-09-20,TRANSFER,,d2_big_west,Guard,80,225,COLLEGE_SOPHOMORE,2020,FALSE,FALSE,TRUE,FALSE,TRUE,reviewed_include,https://angelosports.com/sports/mens-basketball/roster/lathaniel-bastian/7071
Sydney Shipp,sydney-shipp,Cal State Fullerton,cal-state-fullerton,Big West,D1,Occidental,occidental,SCIAC,D2,2023,2023-24,,,2023-09-20,ENROLLMENT,2023-09-20,TRANSFER,,d2_big_west,Guard,72,170,COLLEGE_SENIOR,2019,FALSE,FALSE,TRUE,FALSE,TRUE,reviewed_include,https://oxyathletics.com/sports/mens-basketball/roster/sydney-shipp/7664
Chris Mitchell,chris-mitchell,UC Santa Barbara,uc-santa-barbara,Big West,D1,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,2024,2024-25,,,2024-09-20,ENROLLMENT,2024-09-20,TRANSFER,,d2_big_west,Guard,76,200,COLLEGE_SENIOR,2020,FALSE,FALSE,TRUE,FALSE,TRUE,reviewed_include,https://csusbathletics.com/sports/mens-basketball/roster/chris-mitchell/4103
