player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_level,source_stat_source,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Jacob Davison,jacob-davison,Eastern Washington,eastern-washington,Big Sky,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,22,11,21.0,462.0,0.525,9.8,2.6,1.5,0.6,0.4,1.5,0.386,0.356,0.804,0.471,0.5144897102057959,0.4767441860465116,0.24418604651162792,14.5,0.51,26.5,0.5,0.7,1.1,0.099,-0.9,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html
Julien Franklin,julien-franklin,Oregon State,oregon-state,PAC 12,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,21,0,6.3,132.29999999999998,0.1575,0.8,0.7,0.5,0.3,0.0,0.3,0.3,0.182,0.5,0.35,0.3533568904593639,0.5,0.3,4.3,0.372,11.9,-0.1,0.2,0.1,0.026,-4.4,https://www.sports-reference.com/cbb/schools/oregon-state/men/2021.html
Trevon Taylor,trevon-taylor,James Madison,james-madison,Sun Belt,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,7,0,6.0,42.0,0.15,1.7,1.4,0.3,0.3,0.1,0.4,0.417,0.333,0.0,0.5,0.5,0.5294117647058824,0.0,15.1,0.5,17.2,0.1,0.1,0.1,0.116,12.8,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html
E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,22,0,8.5,187.0,0.2125,1.7,1.9,0.3,0.4,0.0,0.2,0.342,0.0,0.6,0.342,0.40553435114503816,0.0,0.5294117647058824,11.4,0.4,14.1,0.2,0.4,0.5,0.117,1.1,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html
Christian Gray,christian-gray,Fresno State,fresno-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,18,7,13.7,246.6,0.34249999999999997,5.3,3.0,0.4,0.1,0.1,0.8,0.589,0.0,0.644,0.589,0.6309523809523809,0.03225806451612903,0.8064516129032258,17.2,0.614,19.4,0.7,0.2,0.9,0.144,-3.0,https://www.sports-reference.com/cbb/schools/fresno-state/men/2021.html
Onyi Eyisi,onyi-eyisi,Fordham,fordham,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,14,1,15.0,210.0,0.375,3.2,2.3,0.0,0.3,0.4,0.6,0.486,0.0,0.55,0.486,0.5134788189987163,0.0,0.5599999999999999,7.8,0.506,14.3,0.0,0.2,0.2,0.034,-5.5,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html
Juan Munoz,juan-munoz,Longwood,longwood,Big South,D1,Hawaii,hawaii,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,29,28,32.7,948.3000000000001,0.8175000000000001,13.0,3.2,2.9,1.2,0.0,2.5,0.378,0.384,0.807,0.495,0.5382577012255714,0.611111111111111,0.2685185185185185,14.7,0.535,23.6,1.4,1.0,2.4,0.1,-0.9,https://www.sports-reference.com/cbb/schools/longwood/men/2021.html
Kamaka Hepa,kamaka-hepa,Texas,texas,Big XII,D1,Hawaii,hawaii,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,9,1,6.4,57.6,0.16,2.9,1.0,0.1,0.1,0.2,0.3,0.5,0.5,0.0,0.722,0.7093933463796477,0.9,0.05,18.4,0.704,18.5,0.2,0.1,0.2,0.167,6.1,https://www.sports-reference.com/cbb/schools/texas/men/2021.html
Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,2020-21,D2,phase1_school_stats,Jr.,G,22,,35.45454545454545,780.0,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,1.8636363636363635,0.09090909090909091,2.4545454545454546,0.47,0.3,0.807,0.509090909090909,0.5687361419068736,0.2597402597402597,0.38961038961038963,,,,,,,,,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21
Kane Milling,kane-milling,Nevada,nevada,Mountain West,D1,UC Davis,uc-davis,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,26,4,22.3,579.8000000000001,0.5575,4.8,2.1,1.0,0.5,0.1,0.9,0.385,0.368,0.676,0.486,0.5249343832020997,0.55,0.325,7.5,0.516,12.6,0.3,0.6,0.8,0.058,0.0,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html
Devin Tillis,devin-tillis,UNLV,unlv,Mountain West,D1,UC Irvine,uc-irvine,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,24,8,19.1,458.40000000000003,0.47750000000000004,3.7,3.5,1.2,0.7,0.0,1.2,0.534,0.381,0.947,0.603,0.6722383720930234,0.375,0.33333333333333337,11.2,0.656,10.7,0.6,0.6,1.2,0.101,-1.2,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2021.html
J.P. Moorman II,jp-moorman-ii,Temple,temple,American,D1,UC Riverside,uc-riverside,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,16,13,26.8,428.8,0.67,7.3,5.3,2.2,0.7,0.3,1.3,0.396,0.358,0.684,0.486,0.5120650953984287,0.5,0.18181818181818182,12.0,0.504,16.4,0.4,0.6,1.0,0.093,2.7,https://www.sports-reference.com/cbb/schools/temple/men/2021.html
Chance Hunter,chance-hunter,California Baptist,california-baptist,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_cache,JR,G,29,18,20.8,603.2,0.52,7.3,4.0,1.0,0.4,0.3,1.2,0.386,0.315,0.44,0.47,0.47108931337119253,0.5285714285714286,0.24285714285714285,11.0,0.47,21.9,0.2,1.0,1.2,0.08,-3.3,https://www.sports-reference.com/cbb/players/chance-hunter-1.html
Isaac Spears,isaac-spears,Montana State,montana-state,Big Sky,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,12,0,2.7,32.400000000000006,0.0675,1.3,0.3,0.3,0.0,0.0,0.7,0.333,0.25,0.5,0.4,0.4276315789473684,0.5384615384615384,0.3846153846153846,-1.3,0.42,41.4,-0.1,0.0,-0.1,-0.132,-27.1,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html
Logan McLaughlin,logan-mclaughlin,Abilene Christian,abilene-christian,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,14,0,8.8,123.20000000000002,0.22000000000000003,3.5,1.3,0.5,0.5,0.0,0.1,0.436,0.346,0.857,0.551,0.5794701986754967,0.6785714285714286,0.17857142857142858,17.5,0.579,17.5,0.3,0.3,0.6,0.187,-5.6,https://www.sports-reference.com/cbb/schools/abilene-christian/men/2022.html
Nick Fleming,nick-fleming,Southern Utah,southern-utah,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,32,1,11.2,358.4,0.27999999999999997,2.8,1.2,1.1,0.3,0.1,0.8,0.341,0.292,0.63,0.424,0.4587155963302752,0.5555555555555555,0.2962962962962963,7.4,0.455,17.0,0.1,0.4,0.5,0.051,-4.8,https://www.sports-reference.com/cbb/schools/southern-utah/men/2022.html
Modestas Kancleris,modestas-kancleris,Creighton,creighton,Big East,D1,Cal State Bakersfield,cal-state-bakersfield,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,14,0,2.4,33.6,0.06,0.2,0.5,0.1,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.1736111111111111,0.25,1.0,6.8,0.191,13.4,-0.1,0.1,0.0,0.031,0.8,https://www.sports-reference.com/cbb/schools/creighton/men/2022.html
Garrison Wade,garrison-wade,Dartmouth,dartmouth,Ivy,D1,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,25,18,23.6,590.0,0.5900000000000001,6.6,4.6,0.9,0.6,0.6,1.5,0.394,0.338,0.744,0.479,0.5153029356652092,0.49122807017543857,0.2807017543859649,12.2,0.514,17.8,0.3,0.8,1.1,0.075,-2.3,https://www.sports-reference.com/cbb/schools/dartmouth/men/2022.html
"John Square, Jr.",john-square-jr,Fairleigh Dickinson,fairleigh-dickinson,Northeast,D1,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,25,24,22.0,550.0,0.55,8.5,5.0,1.3,0.9,1.0,1.0,0.541,0.412,0.658,0.565,0.6006218202374223,0.12068965517241378,0.5,22.1,0.589,18.6,1.5,0.3,1.9,0.136,0.1,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html
Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D2,phase1_school_stats,Sr.,G,21,,33.04761904761905,694.0,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,1.1904761904761905,0.38095238095238093,2.2857142857142856,0.445,0.325,0.853,0.5014836795252225,0.5751150230046009,0.34718100890207715,0.42433234421364985,,,,,,,,,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career
DeSean Allen-Eikens,desean-allen-eikens,New Orleans,new-orleans,Southland,D1,Cal State Northridge,cal-state-northridge,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,14,7,19.4,271.59999999999997,0.485,5.9,3.2,1.1,0.4,0.3,1.3,0.431,0.25,0.6,0.472,0.5006788866259335,0.33333333333333337,0.35294117647058826,10.8,0.495,17.7,0.1,0.4,0.5,0.067,-4.2,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html
Dearon Tucker,dearon-tucker2,Indiana State,indiana-state,Missouri Valley,D1,Cal State Northridge,cal-state-northridge,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,14,2,10.4,145.6,0.26,2.2,2.7,0.4,0.1,0.6,0.6,0.417,0.0,0.688,0.417,0.5036630036630036,0.0,0.6470588235294118,12.3,0.491,14.5,0.1,0.2,0.3,0.092,-2.9,https://www.sports-reference.com/cbb/schools/indiana-state/men/2022.html
Dionte Bostick,dionte-bostick,Murray State,murray-state,Missouri Valley,D1,Cal State Northridge,cal-state-northridge,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,16,0,4.9,78.4,0.12250000000000001,1.9,0.5,0.6,0.2,0.0,0.3,0.458,0.25,0.6,0.5,0.5385487528344671,0.3333333333333333,0.39999999999999997,15.8,0.522,20.5,0.2,0.1,0.3,0.165,-1.2,https://www.sports-reference.com/cbb/schools/murray-state/men/2022.html
Ethan Igbanugo,ethan-igbanugo,North Dakota,north-dakota,Summit League,D1,Cal State Northridge,cal-state-northridge,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,29,8,23.6,684.4000000000001,0.5900000000000001,8.8,2.4,1.3,0.4,0.2,1.2,0.348,0.358,0.634,0.441,0.48182216381953574,0.5189873417721518,0.3544303797468354,10.1,0.474,22.3,0.4,0.0,0.4,0.021,-6.5,https://www.sports-reference.com/cbb/schools/north-dakota/men/2022.html
Matija Svetozarević,matija-svetozarevi,Portland,portland,West Coast,D1,Hawaii,hawaii,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,23,1,9.7,223.1,0.2425,2.6,1.7,0.5,0.2,0.1,0.5,0.333,0.233,0.938,0.395,0.462962962962963,0.52,0.27999999999999997,8.9,0.464,17.2,0.0,0.3,0.3,0.062,-2.3,https://www.sports-reference.com/cbb/schools/portland/men/2022.html
Ryan Rapp,ryan-rapp,Washington State,washington-state,PAC 12,D1,Hawaii,hawaii,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,16,0,4.6,73.6,0.11499999999999999,1.2,0.8,0.2,0.1,0.1,0.3,0.235,0.2,1.0,0.324,0.45454545454545453,0.8181818181818181,0.45454545454545453,7.1,0.457,17.7,0.0,0.1,0.1,0.064,-2.2,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html
Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,19,0,7.8,148.2,0.195,2.4,2.9,0.3,0.3,0.2,0.9,0.606,0.0,0.75,0.606,0.6396588486140725,0.0,0.23529411764705885,15.7,0.625,18.3,0.1,0.3,0.4,0.117,-2.8,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html
Marcus Tsohonis,marcus-tsohonis,VCU,vcu,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,29,3,14.4,417.6,0.36,5.1,1.7,1.1,0.3,0.0,0.8,0.371,0.368,0.609,0.469,0.48552932216298544,0.5306122448979592,0.16326530612244897,11.0,0.481,22.0,0.3,0.7,1.0,0.097,1.0,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2022.html
Pablo Tamba,pablo-tamba,Idaho State,idaho-state,Big Sky,D1,UC Davis,uc-davis,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,16,0,3.4,54.4,0.08499999999999999,0.4,0.9,0.0,0.0,0.0,0.3,0.222,0.2,1.0,0.278,0.31055900621118016,0.5,0.16666666666666669,-1.9,0.352,14.6,-0.1,0.0,-0.1,-0.068,-11.1,https://www.sports-reference.com/cbb/schools/idaho-state/men/2022.html
Ty Johnson,ty-johnson2,Loyola Chicago,loyola-chicago,Atlantic 10,D1,UC Davis,uc-davis,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,13,0,4.0,52.0,0.1,0.8,0.5,0.3,0.3,0.0,0.5,0.286,0.0,0.429,0.286,0.30303030303030304,0.18181818181818182,0.45454545454545453,2.2,0.317,24.4,-0.2,0.1,0.0,-0.025,-14.7,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html
Pierre Crockrell II,pierre-crockrell-ii,Pacific,pacific,West Coast,D1,UC Irvine,uc-irvine,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,30,29,29.2,876.0,0.73,6.7,2.4,4.3,1.2,0.0,2.1,0.416,0.375,0.5,0.429,0.4352910602910603,0.0684931506849315,0.12328767123287672,9.6,0.434,17.2,-0.1,0.7,0.6,0.026,-4.9,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html
Jamal Hartwell II,jamal-hartwell-ii,George Mason,george-mason,Atlantic 10,D1,UC Riverside,uc-riverside,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,26,4,13.1,340.59999999999997,0.3275,2.9,0.8,1.1,0.2,0.0,0.4,0.26,0.281,0.7,0.354,0.3740970072239422,0.6756756756756757,0.10810810810810811,4.9,0.372,17.6,-0.1,0.3,0.1,0.017,-4.1,https://www.sports-reference.com/cbb/schools/george-mason/men/2022.html
Kyle Owens,kyle-owens,Montana,montana,Big Sky,D1,UC Riverside,uc-riverside,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,25,0,12.3,307.5,0.3075,4.4,1.8,0.4,0.1,0.1,0.5,0.427,0.239,0.81,0.484,0.5298651252408478,0.4736842105263158,0.2105263157894737,11.5,0.519,20.7,0.4,0.4,0.7,0.096,-9.4,https://www.sports-reference.com/cbb/schools/montana/men/2022.html
Luke Turner,luke-turner,Wofford,wofford,Southern,D1,UC Riverside,uc-riverside,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,29,0,10.9,316.1,0.2725,2.9,1.5,0.7,0.3,0.0,0.3,0.4,0.3,0.5,0.494,0.4945429740791269,0.6071428571428572,0.10714285714285715,13.1,0.496,16.1,0.5,0.3,0.8,0.105,-0.6,https://www.sports-reference.com/cbb/schools/wofford/men/2022.html
Emmanuel Tshimanga,emmanuel-tshimanga,UC Irvine,uc-irvine,Big West,D1,UC San Diego,uc-san-diego,2022-23,2021-22,D1,sports_reference_source_school_cache,,C,25,0,10.6,265.0,0.265,3.4,3.3,0.2,0.1,0.1,0.8,0.636,0.0,0.64,0.636,0.6439393939393939,0.0,0.45454545454545453,16.4,0.643,16.9,0.5,0.6,1.1,0.169,-2.8,https://www.sports-reference.com/cbb/schools/california-irvine/men/2022.html
Andre Kelly,andre-kelly,California,california,PAC 12,D1,UC Santa Barbara,uc-santa-barbara,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,21,21,30.2,634.1999999999999,0.755,13.4,8.4,0.8,0.5,0.6,1.1,0.607,0.5,0.692,0.612,0.6261682242990655,0.020833333333333336,0.2604166666666667,24.1,0.625,21.4,2.0,1.0,2.9,0.184,5.8,https://www.sports-reference.com/cbb/schools/california/men/2022.html
Jarred Hyder,jarred-hyder,California,california,PAC 12,D1,Cal Poly,cal-poly,2023-24,2021-22,D1,sports_reference_source_school_cache,,G,22,2,8.8,193.60000000000002,0.22000000000000003,1.3,0.6,0.8,0.1,0.0,0.4,0.237,0.188,0.727,0.276,0.3385416666666667,0.4117647058823529,0.29411764705882354,3.6,0.335,14.6,-0.2,0.2,0.0,-0.007,-4.3,https://www.sports-reference.com/cbb/schools/california/men/2022.html
Paul Bizimana,paul-bizimana,Eastern Illinois,eastern-illinois,Ohio Valley,D1,Cal Poly,cal-poly,2023-24,2022-23,D1,sports_reference_source_school_cache,,F,22,6,10.4,228.8,0.26,2.9,1.5,0.5,0.3,0.3,0.6,0.361,0.389,0.722,0.418,0.4600253807106599,0.28571428571428575,0.28571428571428575,9.6,0.46,18.0,0.0,0.3,0.3,0.046,-5.5,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2023.html
Cameron Wilbon,cameron-wilbon,Sacramento State,sacramento-state,Big Sky,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,32,3,25.3,809.6,0.6325000000000001,8.6,3.8,2.2,0.4,0.4,1.8,0.466,0.319,0.569,0.498,0.5111745126010461,0.2027027027027027,0.31081081081081074,14.3,0.511,22.0,0.9,0.7,1.6,0.08,-1.8,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html
Fidelis Okereke,fidelis-okereke,Cal State Northridge,cal-state-northridge,Big West,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,D1,sports_reference_source_school_cache,,F,31,14,18.8,582.8000000000001,0.47000000000000003,4.4,5.1,0.6,0.5,0.6,1.2,0.514,0.0,0.587,0.514,0.5418719211822661,0.0,0.4411764705882353,13.0,0.532,14.9,0.3,0.9,1.2,0.083,-4.4,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Beril Kabamba,beril-kabamba2,Spring Hill,spring-hill,SIAC,D2,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,D2,phase1_school_stats,Jr.,G,25,,34.8,870.0,0.8699999999999999,18.56,8.68,2.0,1.32,0.44,2.68,0.42,0.292,0.831,0.4635854341736695,0.542817033224146,0.2969187675070028,0.4481792717086835,,,,,,,,,https://shcbadgers.com/sports/mens-basketball/stats/2022-23
Dominic Brewton,dominic-brewton,Alcorn State,alcorn-state,SWAC,D1,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,27,6,25.7,693.9,0.6425,12.0,3.7,1.7,1.1,0.0,1.9,0.403,0.254,0.816,0.433,0.49652432969215493,0.23809523809523808,0.34285714285714286,17.1,0.493,27.6,1.0,0.8,1.7,0.1,0.3,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html
Donovan Oday,donovan-oday,McNeese,mcneese,Southland,D1,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,34,2,16.6,564.4000000000001,0.41500000000000004,4.9,2.1,1.2,0.6,0.1,1.1,0.375,0.23,0.765,0.421,0.4748062015503876,0.4,0.3333333333333333,11.3,0.474,18.7,0.4,0.3,0.7,0.048,-4.4,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2023.html
Jalen Cooper,jalen-cooper,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,D2,phase1_school_stats,Jr.,W,27,,31.48148148148148,850.0,0.787037037037037,17.37037037037037,8.666666666666666,1.8888888888888888,1.2592592592592593,1.3703703703703705,2.5925925925925926,0.517,0.429,0.74,0.5495356037151703,0.600112601085065,0.15170278637770898,0.47678018575851394,,,,,,,,,https://pbasailfish.com/sports/mens-basketball/stats/2022-23
Gianni Hunt,gianni-hunt,Sacramento State,sacramento-state,Big Sky,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,32,30,27.8,889.6,0.6950000000000001,6.9,3.0,3.3,0.9,0.0,2.3,0.376,0.374,0.745,0.47,0.5029154518950437,0.5,0.24193548387096772,9.6,0.502,17.9,0.2,0.9,1.1,0.051,-3.5,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html
Jared Barnett,jared-barnett2,San Diego State,san-diego-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,10,0,2.7,27.0,0.0675,0.6,0.3,0.3,0.1,0.0,0.4,0.25,0.5,0.0,0.375,0.37499999999999994,0.5,0.0,1.2,0.375,22.9,-0.1,0.0,0.0,-0.038,-8.3,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html
Jasman Sangha,jasman-sangha,Texas A&M–Corpus Christi,texas-a-m–corpus-christi,Southland,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,F,14,1,10.4,145.6,0.26,2.6,1.7,0.4,0.2,0.2,0.7,0.4,0.0,0.615,0.4,0.44889502762430944,0.04,0.36,5.6,0.437,16.8,0.0,0.2,0.1,0.037,-12.3,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html
Jordan Brinson,jordan-brinson,Fresno State,fresno-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,3,0,6.0,18.0,0.15,0.7,1.0,1.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.1743027888446215,0.7647058823529412,0.4117647058823529,0.2,0.168,21.5,-0.1,0.0,0.0,-0.091,-11.5,https://www.sports-reference.com/cbb/schools/fresno-state/men/2023.html
Mahmoud Fofana,mahmoud-fofana,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D2,phase1_school_stats,Jr.,W,35,,23.0,805.0,0.575,8.4,6.085714285714285,1.0,0.8,0.9714285714285714,0.9714285714285714,0.652,0.286,0.597,0.6631016042780749,0.6655197392249185,0.0748663101604278,0.4117647058823529,,,,,,,,,https://csusbathletics.com/sports/mens-basketball/stats/2022-23
P.J. Fuller II,pj-fuller,Washington,washington,PAC 12,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,26,17,23.2,603.1999999999999,0.58,6.2,2.0,2.5,1.1,0.5,2.6,0.385,0.284,0.8,0.449,0.4942602040816326,0.45614035087719296,0.22807017543859648,8.5,0.489,19.7,-0.5,0.8,0.3,0.023,-0.7,https://www.sports-reference.com/cbb/schools/washington/men/2023.html
Quincy McGriff,quincy-mcgriff,Duquesne,duquesne,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2023-24,2022-23,D1,sports_reference_source_school_cache,,G,29,7,16.3,472.70000000000005,0.40750000000000003,5.3,1.8,1.4,0.4,0.1,1.1,0.357,0.343,0.727,0.479,0.5045696877380045,0.7142857142857142,0.16326530612244897,10.6,0.499,19.1,0.4,0.4,0.8,0.068,-1.2,https://www.sports-reference.com/cbb/schools/duquesne/men/2023.html
