Player Name,Team,source_url,audit_status,mismatch_fields,profile_url,profile_stats_endpoint,profile_json_status,stats_page_match_text,profile_match_text,profile_stats_json,team_GP,profile_GP,delta_GP,team_MIN,profile_MIN,delta_MIN,team_MPG,profile_MPG,delta_MPG,team_FGM,profile_FGM,delta_FGM,team_FGA,profile_FGA,delta_FGA,team_FG%,profile_FG%,delta_FG%,team_3PTM,profile_3PTM,delta_3PTM,team_3PTA,profile_3PTA,delta_3PTA,team_3PT%,profile_3PT%,delta_3PT%,team_FTM,profile_FTM,delta_FTM,team_FTA,profile_FTA,delta_FTA,team_FT%,profile_FT%,delta_FT%,team_PTS,profile_PTS,delta_PTS,team_PPG,profile_PPG,delta_PPG,team_TOT RB,profile_TOT RB,delta_TOT RB,team_RPG,profile_RPG,delta_RPG,team_AST,profile_AST,delta_AST,team_APG,profile_APG,delta_APG,team_TO,profile_TO,delta_TO,team_TOPG,profile_TOPG,delta_TOPG,team_STL,profile_STL,delta_STL,team_SPG,profile_SPG,delta_SPG,team_BLK,profile_BLK,delta_BLK,team_BPG,profile_BPG,delta_BPG,error
Jason Shields,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/jason-shields/3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Brandon Hooks,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/brandon-hooks/3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jayson Love,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/jayson-love/3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Izrael Everett,Bluefield State,https://gobstate.com/sports/mens-basketball/stats/2025-26,profile_stat_row_not_found,,https://gobstate.com/sports/mens-basketball/roster/izrael-everett/2824,https://gobstate.com/services/responsive-roster-bio.ashx?type=stats&rp_id=2824&path=mbball&year=2025&player_id=0,profile_json_checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Kane,Ferrum,https://ferrumpanthers.com/sports/mens-basketball/stats,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennard Davis,Francis Marion,https://fmupatriots.com/sports/mens-basketball/stats,mismatch,MIN,https://fmupatriots.com/sports/mens-basketball/roster/kennard-davis/8377,https://fmupatriots.com/services/responsive-roster-bio.ashx?type=stats&rp_id=8377&path=mbball&year=2025&player_id=0,profile_json_checked,"11 Davis, Kennard 11 Davis, Kennard 16 14 513 32.1 56 147 .381 13 52 .250 72 82 .878 197 12.3 14 37 51 3.2 43 106 55 11 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.25, ""3PTA"": 52.0, ""3PTM"": 13.0, ""AST"": 106.0, ""BLK"": 0.0, ""DRB"": 37.0, ""FG%"": 0.381, ""FGA"": 147.0, ""FGM"": 56.0, ""FT%"": 0.878, ""FTA"": 82.0, ""FTM"": 72.0, ""GP"": 16, ""MIN"": 513.0, ""MPG"": 32.0625, ""ORB"": 14.0, ""PF"": 43.0, ""PPG"": 12.3, ""PTS"": 197.0, ""RPG"": 3.2, ""STL"": 11.0, ""TO"": 55.0, ""TOT RB"": 51.0, ""pts_per_40"": 15.345029239766081, ""reb_per_40"": 3.992202729044834}",16.0,16.0,0.0,513.6,513.0,-0.6000000000000227,32.1,32.0625,-0.0375000000000014,56.0,56.0,0.0,147.0,147.0,0.0,0.381,0.381,0.0,13.0,13.0,0.0,52.0,52.0,0.0,0.25,0.25,0.0,72.0,72.0,0.0,82.0,82.0,0.0,0.878,0.878,0.0,197.0,197.0,0.0,12.3125,12.3,-0.0124999999999992,51.0,51.0,0.0,3.1875,3.2,0.0125000000000001,106.0,106.0,0.0,6.625,,,55.0,55.0,0.0,3.4375,,,11.0,11.0,0.0,0.6875,,,0.0,0.0,0.0,0.0,,,
Sean Standifer,Lees McRae,https://lmcbobcats.com/sports/mbball/stats,profile_fetch_failed,,https://lmcbobcats.com/sports/mens-basketball/roster/sean-standifer/5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Chris Kitchings,Lees McRae,https://lmcbobcats.com/sports/mbball/stats,profile_fetch_failed,,https://lmcbobcats.com/sports/mens-basketball/roster/chris-kitchings/5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Aiden Gibson,Young Harris,https://yhcathletics.com/sports/mens-basketball/stats,profile_fetch_failed,,https://yhcathletics.com/sports/mens-basketball/roster/aiden-gibson/5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jonathan Kelley,Salem University,https://salemtigers.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://salemtigers.com/sports/mens-basketball/roster/jonathan-kelley/4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Graden McKinney,Salem University,https://salemtigers.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://salemtigers.com/sports/mens-basketball/roster/graden-mckinney/4926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Shawnn Smith,DYouville,https://dyusaints.com/sports/mens-basketball/stats,profile_fetch_failed,,https://dyusaints.com/sports/mens-basketball/roster/shawnn-smith/4227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jaden Holt,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/jaden-holt/14256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
J.P. Shiers,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/jp-shiers/14259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Robert Jackson,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/robert-jackson/14257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
RaShaun Parker,Davis Elkins,https://senatornation.com/sports/mens-basketball/stats,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndrae Seeden,Lock Haven,https://www.lockhavenathletics.com/sports/mens-basketball/stats/2025-2026,profile_fetch_failed,,https://www.lockhavenathletics.com/sports/mens-basketball/roster/deandrae-seeden/11631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Amari Floyd,Edward Waters,https://ewutigerpride.com/sports/mens-basketball/stats/,profile_fetch_failed,,https://ewutigerpride.com/sports/mens-basketball/roster/amari-floyd/3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
X'Zavion McCoy,Edward Waters,https://ewutigerpride.com/sports/mens-basketball/stats/,profile_fetch_failed,,https://ewutigerpride.com/sports/mens-basketball/roster/x-zavion-mccoy/3762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Tyrone Barbee,Edward Waters,https://ewutigerpride.com/sports/mens-basketball/stats/,profile_fetch_failed,,https://ewutigerpride.com/sports/mens-basketball/roster/ty-barbee/3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Devine Owens,LeMoyne Owen College,https://athletics.loc.edu/sports/mens-basketball/stats,profile_fetch_failed,,https://athletics.loc.edu/sports/mens-basketball/roster/devine-owens/2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Michael Pace,LeMoyne Owen College,https://athletics.loc.edu/sports/mens-basketball/stats,profile_fetch_failed,,https://athletics.loc.edu/sports/mens-basketball/roster/michael-pace/2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Tavion Ray,LeMoyne Owen College,https://athletics.loc.edu/sports/mens-basketball/stats,profile_fetch_failed,,https://athletics.loc.edu/sports/mens-basketball/roster/tavion-ray/2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Keyon Webb,Tuskegee,https://goldentigersports.com/sports/mens-basketball/stats,profile_fetch_failed,,https://goldentigersports.com/sports/mens-basketball/roster/keyon-webb/5511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Tank Spears II,Tuskegee,https://goldentigersports.com/sports/mens-basketball/stats,profile_fetch_failed,,https://goldentigersports.com/sports/mens-basketball/roster/tank-spears-ii/5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Christian McAllister,Tuskegee,https://goldentigersports.com/sports/mens-basketball/stats,profile_fetch_failed,,https://goldentigersports.com/sports/mens-basketball/roster/christian-mcallister/5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
