Team,Conference,season,missing_players,players
Southwest Minnesota State,Northern Sun Intercollegiate,2025-26,4,Buay Koak; Caleb Schlaak; Ethan Koltz; Reece Kircher
Virginia Wise,South Atlantic,2025-26,4,Cole Caywood; Gunner Garrett; Teshawn Ricks; Filip Brkic
Wilmington DE,Central Athletic,2025-26,4,Fidel Mpanzo; Jadyn Humber; Elson Berhanu; Jeff Bogg
Alabama Huntsville,Gulf South,2025-26,3,Victor Odiari; Carson Chandler; Aiden Weaver
Angelo State,Lone Star,2025-26,3,Ja'Queze Kirby; Devyn Paz; Darius Brady
Ashland,Great Midwest Athletic,2025-26,3,Aden Gregory; Nohah Nichols; Matthew Chou
Belmont Abbey,Conference Carolinas,2025-26,3,"JaVon Brooks; Josh Lindsay; Brian Carter, Jr."
Carson Newman,South Atlantic,2025-26,3,David Gorianskii; Gaas Herman; Shamir Caruthers
Christian Brothers,Gulf South,2025-26,3,Kamden Days; Kamren Moore; Antonio Foxwell
Claflin,Central Intercollegiate Athletic,2025-26,3,Chandler Mason; Kaemon Khan; Donte Hickman
Clarion,Pennsylvania State Athletic,2025-26,3,Jayden Statum; Caden Young; Brody McQuiston
Clayton State,Peach Belt,2025-26,3,Dez'Mond Perkins; Jeremiah Barze; Bryce Dawson
Columbus State,Peach Belt,2025-26,3,Dee Morton; Qmar Stroman; Demetrius Gibson
Concordia St Paul,Northern Sun Intercollegiate,2025-26,3,Alex Kopetzki; Allan Lankfard; Jackson Driessen
Daemen College,East Coast,2025-26,3,Pat Rouse; Ayden Harrison; Ivan Yhomby
Dominican NY,Central Athletic,2025-26,3,Juelz Dickerson; Nathaniel Wooden; Jeremiah Williams
East Stroudsburg,Pennsylvania State Athletic,2025-26,3,"Kevin Coleman, Jr.; Shane Crissman; Milan Dean"
Emory Henry,South Atlantic,2025-26,3,Isaac Cubero; Cross Arias; Ryan Steger
Fayetteville State,Central Intercollegiate Athletic,2025-26,3,Anthony Mendez; Tobias Shifflet; Gerardo Santiago
Fort Hays State,Mid-America Intercollegiate,2025-26,3,Ben Johnson; Tegen Curley; David Johnson
Georgia College,Peach Belt,2025-26,3,Austin Mosby-Weems; Marques Greene; Boston Kersh
Indiana University of Pennsylvania,Pennsylvania State Athletic,2025-26,3,"Ralphie Blundo; Harry Keighley; Alfonso Pickens, Jr."
Johnson C Smith,Central Intercollegiate Athletic,2025-26,3,Jeremee Bryant; Christopher Mitchell; Micah Norris
Kentucky Wesleyan,Great Midwest Athletic,2025-26,3,Tavion Williams; Haiden Evans; Carter Bischoff
King,Conference Carolinas,2025-26,3,Oliver Peterson; Kalen Shemwell; Jackson Davidson
Millersville University,Pennsylvania State Athletic,2025-26,3,Kyle Benjamin; Ethan Benne; Keith Jackson
Minnesota Duluth,Northern Sun Intercollegiate,2025-26,3,Andrew Rader; Billy DeMars; Brooks Johnson
Mississippi College,Gulf South,2025-26,3,John Ridger; Wesley Chapman; Will Andrews
Montevallo,Gulf South,2025-26,3,Luke Stephens; Jayden Young; Ty Odom
Nebraska Kearney,Mid-America Intercollegiate,2025-26,3,Maal Jal; Chiaki Momma; Payton Jones
Newberry,South Atlantic,2025-26,3,Matty Foor; A.J. Demirov; Desmond Ware
Newman University,Mid-America Intercollegiate,2025-26,3,Jayden Schoen; Devin Walker; Aaron Murphy
North Greenville,Conference Carolinas,2025-26,3,West Kellett; Philip Layne; Nick McConnell
Northwood MI,Great Midwest Athletic,2025-26,3,Delos Rossell; Jacob Burgess; Jaiden Krynicki
Savannah State,Southern Intercollegiate Athletic,2025-26,3,Mekhi Witter; Isaiah Isichei; Khalil Grace
St Edwards,Lone Star,2025-26,3,Travon Williams; Shug Jinkal; George McCoy
Tiffin,Great Midwest Athletic,2025-26,3,Avonte Wiggins; Noah Trevino; Tavin Shaw
University of Mary,Northern Sun Intercollegiate,2025-26,3,Kenny Gonzalez; Wyatt Westin; Ryan Larson
Valdosta State,Gulf South,2025-26,3,Jose Cuello; Kaden Johnson; Andrew Haynes
WV Wesleyan,Mountain East,2025-26,3,Baustin Bowers; Navi Hewitt; Sion Cleveland
Western New Mexico,Lone Star,2025-26,3,Jalen Williams; Nathan Jones; Oskar Olechnowicz
Adelphi,Northeast 10,2025-26,2,Carter Wilson; London Carson
American International,Northeast 10,2025-26,2,Se'yphon Triplett; Miles Smith
Anderson SC,South Atlantic,2025-26,2,Sam Perez; Jemeh Jones
Arkansas Fort Smith,Mid-America Intercollegiate,2025-26,2,Zane Restelli; Markece Young
Assumption College,Northeast 10,2025-26,2,Michael Pitman; Luke Latina
Benedict College,Southern Intercollegiate Athletic,2025-26,2,Jay'Quan Nelson; Anthony Magwood-Spann
Caldwell,Central Athletic,2025-26,2,Austin Amponsah; Manny Smith
Catawba,South Atlantic,2025-26,2,Dermot Lowry; Malachi McCutcheon
Central State OH,Southern Intercollegiate Athletic,2025-26,2,Dimaunye Smith-Powe; Marjoni Tate
Chestnut Hill,Central Athletic,2025-26,2,"Argel Pettit IV; Travis Reed, Jr."
Eastern New Mexico,Lone Star,2025-26,2,"Jaden Clarke; Derrick Daniels, Jr."
Emmanuel GA,Conference Carolinas,2025-26,2,Kolby Watson; Jamaal Leggett
Erskine,Conference Carolinas,2025-26,2,Curtis Bowser; Raquavian Jones
Fort Valley State,Southern Intercollegiate Athletic,2025-26,2,Jaylen Jackson; Josiah Lawson
Franklin Pierce,Northeast 10,2025-26,2,Mahir Hrnjic; Fabrice Salvant
Gannon,Pennsylvania State Athletic,2025-26,2,Lathan Coleman; Rocco Morabito
Hillsdale MI,Great Midwest Athletic,2025-26,2,Israel Gentry; Michael App
Lander,Peach Belt,2025-26,2,Reid Stodghill; Jaden Miller
Lincoln PA,Central Intercollegiate Athletic,2025-26,2,Jahmire Brewer; Yave Cruz
Lubbock Christian,Lone Star,2025-26,2,Emerson Juhasz; Adam Varadi
Miles College,Southern Intercollegiate Athletic,2025-26,2,Isaiah Davis; Breland Price
Minot State,Northern Sun Intercollegiate,2025-26,2,Sean De Kovachich; Drew Kempel
Molloy,East Coast,2025-26,2,Darius Coleman; Joshua Malcolm
Morehouse,Southern Intercollegiate Athletic,2025-26,2,Quinton Steele; Donavin Williams
Northeastern State,Mid-America Intercollegiate,2025-26,2,Sage Wayans; Ben Hagebusch
Northern State,Northern Sun Intercollegiate,2025-26,2,Braeden Vanbockern; Marley Baah-Yeboah
Northwest Missouri State,Mid-America Intercollegiate,2025-26,2,Gob Gob; Jack Webb
Ohio Dominican,Great Midwest Athletic,2025-26,2,Tony Ezeonu; Camden Cox
Oklahoma Christian,Lone Star,2025-26,2,Josh Aiken; Emmanuel Haba
Post,Central Athletic,2025-26,2,Brandon Beamon; Cayleb Walters
Roberts Wesleyan College,East Coast,2025-26,2,Hadi Ammar Alshami; Eli Tanner
Roosevelt,Great Lakes Intercollegiate,2025-26,2,"Chase, Ephraim; Gigo, Anderson"
Saint Anselm,Northeast 10,2025-26,2,Myles Kirby; Connor O'Rourke
Saint Michaels,Northeast 10,2025-26,2,Sebastian Andersson; Tay Dzingou
Shaw,Central Intercollegiate Athletic,2025-26,2,Isaac Tatum; Zailan Blue
Shippensburg,Pennsylvania State Athletic,2025-26,2,Parker Smith; Braelin Hardy
South Carolina Aiken,Peach Belt,2025-26,2,Johnniyus Sharpe; Chase Allen
Southern New Hampshire,Northeast 10,2025-26,2,Sam Guerrier; T.J. Berger
St Thomas Aquinas,East Coast,2025-26,2,Ky Panda-Massey; Elhadji Diop
Staten Island,East Coast,2025-26,2,Nowah Hargrow; Michael Oyekanmi
Sul Ross State,Lone Star,2025-26,2,Jackson Thoele; Donato Joseph
Texas AM Kingsville,Lone Star,2025-26,2,Frank Madubuko; Bryce Cook
Texas Permian Basin,Lone Star,2025-26,2,Kainan Thomas; Mouhamadou Cisse
Thomas More,Great Midwest Athletic,2025-26,2,Daviawne Crim; Will Frey
University of Charleston,Mountain East,2025-26,2,Rico Carr-Cole; Logan Phillips
Virginia State,Central Intercollegiate Athletic,2025-26,2,Jaedan Jefferson; John Uzochuwku
Washburn,Mid-America Intercollegiate,2025-26,2,Tyler Salmon; Tayvin Zephier-Murphy
Wayne State NEB,Northern Sun Intercollegiate,2025-26,2,Payson Nietert; Ahmad Artis
West Florida,Gulf South,2025-26,2,Hutson Rowe; Zac Clarke
West Virginia State,Mountain East,2025-26,2,Tyree Davis; Alaja Sanni
Alaska Fairbanks,Great Northwest,2025-26,1,"McCullough, Jett"
Albany State GA,Southern Intercollegiate Athletic,2025-26,1,Bailo Diallo
Arkansas-Monticello,Great American,2025-26,1,"Webb, Tyler"
Augustana College,Northern Sun Intercollegiate,2025-26,1,Hayden Brown
Bentley,Northeast 10,2025-26,1,Andrew Hill
Bowie State,Central Intercollegiate Athletic,2025-26,1,Justin Morrisey
California PA,Pennsylvania State Athletic,2025-26,1,Creston Austin III
Cameron,Lone Star,2025-26,1,Kelen Smith
Clark Atlanta,Southern Intercollegiate Athletic,2025-26,1,Elijah Hargrove
Concord,Mountain East,2025-26,1,John Rose III
Converse,Conference Carolinas,2025-26,1,Zayd Taylor
Dallas Baptist,Lone Star,2025-26,1,Isaiah Dozier
Delta State,Gulf South,2025-26,1,Kolby Horace
District of Columbia,East Coast,2025-26,1,Jalen Bradberry
East Central,Great American,2025-26,1,"Miller, Jaden"
Emporia State,Mid-America Intercollegiate,2025-26,1,Elijah Wilhelm
Flagler,Peach Belt,2025-26,1,M.J. Meurer
Georgia Southwestern State,Peach Belt,2025-26,1,Alaunzo Doctrine
Glenville State,Mountain East,2025-26,1,Julian Kelly
Goldey Beacom,Central Athletic,2025-26,1,Darius Sherman
Illinois Springfield,Great Lakes Valley,2025-26,1,"Olivier, Dezmund"
Indianapolis,Great Lakes Valley,2025-26,1,"Busick, Drew"
Jessup,PacWest,2025-26,1,"Onuaguluchi, Kenechi"
Kentucky State,Southern Intercollegiate Athletic,2025-26,1,Deavion Scales
Kutztown,Pennsylvania State Athletic,2025-26,1,Kameron Roberts
Lane,Southern Intercollegiate Athletic,2025-26,1,Naby Diaw Ngom
Lenoir Rhyne,South Atlantic,2025-26,1,Rogelio Rivera
Malone,Great Midwest Athletic,2025-26,1,DeLan Davis
Mercy College,East Coast,2025-26,1,Derek Long
Minnesota Crookston,Northern Sun Intercollegiate,2025-26,1,Chandler Meeks
Minnesota State  Moorhead,Northern Sun Intercollegiate,2025-26,1,Nic Smith
Minnesota State Mankato,Northern Sun Intercollegiate,2025-26,1,Ganden Gosch
Mount Olive,Conference Carolinas,2025-26,1,Kobe Jones
Ouachita Baptist,Great American,2025-26,1,"Johnson Jr. , Andre"
Pace,Northeast 10,2025-26,1,Promise Opurum
Point Loma,PacWest,2025-26,1,"Moore, Bobby"
Rogers State,Mid-America Intercollegiate,2025-26,1,Bromo Dorn
Shepherd University,Pennsylvania State Athletic,2025-26,1,Asher Rudolph
Shorter,Conference Carolinas,2025-26,1,Cal Rich
Slippery Rock,Pennsylvania State Athletic,2025-26,1,Maceo Austin
Southern Connecticut State,Northeast 10,2025-26,1,Rob Taylor II
Southwestern Oklahoma State,Great American,2025-26,1,"Harris, Landon"
St Cloud State,Northern Sun Intercollegiate,2025-26,1,Treshawn Blissett
St Marys TX,Lone Star,2025-26,1,Enrique Cardnes
Texas Dallas,Lone Star,2025-26,1,Jaden Jefferson
Trevecca Nazarene,Gulf South,2025-26,1,Cade Capps
Tusculum,South Atlantic,2025-26,1,Lorenzo Sedita
Union TN,Gulf South,2025-26,1,Ty Clark
Virginia Union,Central Intercollegiate Athletic,2025-26,1,Jaron Walker
West Alabama,Gulf South,2025-26,1,Tyrese Elliott
West Liberty,Mountain East,2025-26,1,Max Butler
