player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url,source_class,seasons_played_before_transfer,class_backfill_source,class_backfill_file,class_backfill_table,class_backfill_matched_name
E.J. Anosike,Big West,D1,Tennessee,Cal State Fullerton,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/tennessee_2021.html,0,E.J. Anosike
Hamad Mousa,Big West,D1,Dayton,Cal Poly,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/dayton_2025.html,0,Hamad Mousa
Dominic Brewton,Big West,D1,Alcorn State,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/alcorn-state_2023.html,0,Dominic Brewton
"Larry Hughes, Jr.",Big West,D1,Saint Louis,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/saint-louis_2025.html,0,Larry Hughes
Stephan Swenson,Big West,D1,Stetson,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/stetson_2024.html,0,Stephan Swenson
"Marcus Adams, Jr.",Big West,D1,Brigham Young,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/brigham-young_2024.html,0,Marcus Adams
Devin Askew,Big West,D1,California,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/california_2024.html,0,Devin Askew
Tom Beattie,Big West,D1,Hawaii,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/hawaii_2025.html,0,Tom Beattie
Justin McKoy,Big West,D1,North Carolina,Hawaii,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/north-carolina_2023.html,0,Justin McKoy
Aidan Mahaney,Big West,D1,Connecticut,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/connecticut_2025.html,0,Aidan Mahaney
Miro Little,Big West,D1,Utah,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/utah_2025.html,0,Miro Little
Chris Howell,Big West,D1,Saint Mary's,UC San Diego,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,SO,2.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/chris-howell-3.html,0,Chris Howell
"Marqui Worthy, Jr.",Big West,D1,Massachusetts,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/massachusetts_2025.html,0,Marqui Worthy
Scotty Washington,Big West,D1,California Baptist,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/california-baptist_2024.html,0,Scotty Washington
Isaac Johnson,Big West,D1,Utah State,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/utah-state_2025.html,0,Isaac Johnson
Hunter Erickson,Big West,D1,Utah,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/utah_2025.html,0,Hunter Erickson
Josiah Davis,Big West,D1,Niagara,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/niagara/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/niagara_2025.html,0,Josiah Davis
Gytis Nemeikša,Big West,D1,Xavier,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/xavier_2024.html,0,Gytis Nemeikša
Kenny Pohto,Big West,D1,Wichita State,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/wichita-state/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/wichita-state_2024.html,0,Kenny Pohto
Jefferson De La Cruz Monegro,Big West,D1,Valparaiso,Cal State Fullerton,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/valparaiso/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/valparaiso_2025.html,0,Jefferson De La Cruz Monegro
Marcus Wilson,Big West,D1,Washington State,UC Davis,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/washington-state_2025.html,0,Marcus Wilson
Kamaka Hepa,Big West,D1,Texas,Hawaii,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas/men/2021.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/texas_2021.html,0,Kamaka Hepa
Myles Che,Big West,D1,Chattanooga,UC Irvine,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/chattanooga/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/chattanooga_2024.html,0,Myles Che
DeSean Allen-Eikens,Big West,D1,New Orleans,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html,SO,2.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/desean-allen-eikens-1.html,0,DeSean Allen-Eikens
Yohan Traore,Big West,D1,Auburn,UC Santa Barbara,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/auburn_2023.html,0,Yohan Traore
Trevon Taylor,Big West,D1,James Madison,Cal Poly,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/james-madison_2021.html,0,Trevon Taylor
Andre Kelly,Big West,D1,California,UC Santa Barbara,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2022.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/california_2022.html,0,Andre Kelly
Bol Dengdit,Big West,D1,Portland,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/portland/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/portland_2025.html,0,Bol Dengdit
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/temple_2021.html,0,J.P. Moorman
Brayden Fagbemi,Big West,D1,Central Arkansas,UC Davis,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/central-arkansas_2025.html,0,Brayden Fagbemi
Kyle Owens,Big West,D1,Montana,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana/men/2022.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/montana_2022.html,0,Kyle Owens
Gianni Hunt,Big West,D1,Sacramento State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/sacramento-state_2023.html,0,Gianni Hunt
Kane Milling,Big West,D1,Nevada,UC Davis,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/nevada_2021.html,0,Kane Milling
Marvin McGhee IV,Big West,D1,Cal State Bakersfield,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/cal-state-bakersfield_2025.html,0,Marvin McGhee
Harrison Carrington,Big West,D1,Colorado,UC Irvine,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/colorado/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/colorado_2025.html,0,Harrison Carrington
Osiris Grady,Big West,D1,Utah Valley,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah-valley/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/utah-valley_2025.html,0,Osiris Grady
Alex Chaikin,Big West,D1,Lafayette,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/lafayette/men/2025.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/lafayette_2025.html,0,Alex Chaikin
Dionte Bostick,Big West,D1,Murray State,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/murray-state/men/2022.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/murray-state_2022.html,0,Dionte Bostick
Onyi Eyisi,Big West,D1,Fordham,Cal State Northridge,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/fordham_2021.html,0,Onyi Eyisi
Joel Armotrading,Big West,D1,Cal Poly,UC Riverside,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/cal-poly_2024.html,0,Joel Armotrading
Jarred Hyder,Big West,D1,California,Cal Poly,2021-22,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2022.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/california_2022.html,0,Jarred Hyder
Jordan Brinson,Big West,D1,Fresno State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2023.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/fresno-state_2023.html,0,Jordan Brinson
Colin Smith,Big West,D1,Vanderbilt,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2024.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/vanderbilt_2024.html,0,Colin Smith
Jamal Hartwell II,Big West,D1,George Mason,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/george-mason/men/2022.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/george-mason_2022.html,0,Jamal Hartwell
Kyle Evans,Big West,D1,Colorado State,UC Irvine,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/colorado-state_2024.html,0,Kyle Evans
Justin Rochelin,Big West,D1,Oregon State,UC San Diego,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/oregon-state/men/2024.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/oregon-state_2024.html,0,Justin Rochelin
Pierre Crockrell II,Big West,D1,Pacific,UC Irvine,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/pacific_2022.html,0,Pierre Crockrell
Jacob Davison,Big West,D1,Eastern Washington,Cal Poly,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/eastern-washington_2021.html,0,Jacob Davison
Tyler Beard,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/pacific_2024.html,0,Tyler Beard
Luke Turner,Big West,D1,Wofford,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/wofford/men/2022.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/wofford_2022.html,0,Luke Turner
Max Murrell,Big West,D1,Stanford,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stanford/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/stanford_2024.html,0,Max Murrell
Ethan Igbanugo,Big West,D1,North Dakota,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-dakota/men/2022.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/north-dakota_2022.html,0,Ethan Igbanugo
Shaquil Bender,Big West,D1,Manhattan,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/manhattan/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/manhattan_2025.html,0,Shaquil Bender
Bailey Nunn,Big West,D1,Sacramento State,Cal State Fullerton,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/sacramento-state_2025.html,0,Bailey Nunn
Garrison Wade,Big West,D1,Dartmouth,Cal State Fullerton,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dartmouth/men/2022.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/dartmouth_2022.html,0,Garrison Wade
Modestas Kancleris,Big West,D1,Creighton,Cal State Bakersfield,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/creighton/men/2022.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/creighton_2022.html,0,Modestas Kancleris
Kobe Young,Big West,D1,Boise State,Cal State Fullerton,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/boise-state_2024.html,0,Kobe Young
"Pierre Geneste, Jr.",Big West,D1,Fresno State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/fresno-state_2025.html,0,Pierre Geneste
Nils Cooper,Big West,D1,Pepperdine,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pepperdine/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/pepperdine_2024.html,0,Nils Cooper
