player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url
E.J. Anosike,Big West,D1,Tennessee,Cal State Fullerton,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html
Hamad Mousa,Big West,D1,Dayton,Cal Poly,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html
Dominic Brewton,Big West,D1,Alcorn State,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html
"Larry Hughes, Jr.",Big West,D1,Saint Louis,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html
Stephan Swenson,Big West,D1,Stetson,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html
"Marcus Adams, Jr.",Big West,D1,Brigham Young,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html
Devin Askew,Big West,D1,California,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2024.html
Tom Beattie,Big West,D1,Hawaii,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Justin McKoy,Big West,D1,North Carolina,Hawaii,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html
Aidan Mahaney,Big West,D1,Connecticut,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html
Miro Little,Big West,D1,Utah,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html
Chris Howell,Big West,D1,Saint Mary's,UC San Diego,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html
"Marqui Worthy, Jr.",Big West,D1,Massachusetts,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html
Scotty Washington,Big West,D1,California Baptist,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html
Isaac Johnson,Big West,D1,Utah State,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html
Hunter Erickson,Big West,D1,Utah,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html
Josiah Davis,Big West,D1,Niagara,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/niagara/men/2025.html
Gytis Nemeikša,Big West,D1,Xavier,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html
Kenny Pohto,Big West,D1,Wichita State,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/wichita-state/men/2024.html
Jefferson De La Cruz Monegro,Big West,D1,Valparaiso,Cal State Fullerton,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/valparaiso/men/2025.html
Marcus Wilson,Big West,D1,Washington State,UC Davis,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html
Kamaka Hepa,Big West,D1,Texas,Hawaii,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas/men/2021.html
Myles Che,Big West,D1,Chattanooga,UC Irvine,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/chattanooga/men/2024.html
DeSean Allen-Eikens,Big West,D1,New Orleans,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html
Yohan Traore,Big West,D1,Auburn,UC Santa Barbara,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html
Trevon Taylor,Big West,D1,James Madison,Cal Poly,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html
Andre Kelly,Big West,D1,California,UC Santa Barbara,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2022.html
Bol Dengdit,Big West,D1,Portland,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/portland/men/2025.html
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/temple/men/2021.html
Brayden Fagbemi,Big West,D1,Central Arkansas,UC Davis,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2025.html
Kyle Owens,Big West,D1,Montana,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana/men/2022.html
Gianni Hunt,Big West,D1,Sacramento State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html
Kane Milling,Big West,D1,Nevada,UC Davis,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html
Marvin McGhee IV,Big West,D1,Cal State Bakersfield,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html
Harrison Carrington,Big West,D1,Colorado,UC Irvine,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/colorado/men/2025.html
Osiris Grady,Big West,D1,Utah Valley,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah-valley/men/2025.html
Alex Chaikin,Big West,D1,Lafayette,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/lafayette/men/2025.html
Dionte Bostick,Big West,D1,Murray State,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/murray-state/men/2022.html
Onyi Eyisi,Big West,D1,Fordham,Cal State Northridge,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html
Joel Armotrading,Big West,D1,Cal Poly,UC Riverside,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html
Jarred Hyder,Big West,D1,California,Cal Poly,2021-22,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2022.html
Jordan Brinson,Big West,D1,Fresno State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2023.html
Colin Smith,Big West,D1,Vanderbilt,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2024.html
Jamal Hartwell II,Big West,D1,George Mason,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/george-mason/men/2022.html
Kyle Evans,Big West,D1,Colorado State,UC Irvine,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html
Justin Rochelin,Big West,D1,Oregon State,UC San Diego,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/oregon-state/men/2024.html
Pierre Crockrell II,Big West,D1,Pacific,UC Irvine,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html
Jacob Davison,Big West,D1,Eastern Washington,Cal Poly,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html
Tyler Beard,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html
Luke Turner,Big West,D1,Wofford,UC Riverside,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/wofford/men/2022.html
Max Murrell,Big West,D1,Stanford,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stanford/men/2024.html
Ethan Igbanugo,Big West,D1,North Dakota,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-dakota/men/2022.html
Shaquil Bender,Big West,D1,Manhattan,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/manhattan/men/2025.html
Bailey Nunn,Big West,D1,Sacramento State,Cal State Fullerton,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2025.html
Garrison Wade,Big West,D1,Dartmouth,Cal State Fullerton,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dartmouth/men/2022.html
Modestas Kancleris,Big West,D1,Creighton,Cal State Bakersfield,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/creighton/men/2022.html
Kobe Young,Big West,D1,Boise State,Cal State Fullerton,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html
"Pierre Geneste, Jr.",Big West,D1,Fresno State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2025.html
Nils Cooper,Big West,D1,Pepperdine,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pepperdine/men/2024.html
Julien Franklin,Big West,D1,Oregon State,Cal Poly,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/oregon-state/men/2021.html
Cameron Wilbon,Big West,D1,Sacramento State,Cal State Bakersfield,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html
Cole Farrell,Big West,D1,Portland State,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/portland-state/men/2025.html
Yacine Toumi,Big West,D1,Seton Hall,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/seton-hall/men/2025.html
Rikus Schulte,Big West,D1,Davidson,UC Riverside,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/davidson/men/2024.html
Fidelis Okereke,Big West,D1,Cal State Northridge,Cal State Bakersfield,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Christian Gray,Big West,D1,Fresno State,Cal State Northridge,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2021.html
Ryan Rapp,Big West,D1,Washington State,Hawaii,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html
Nick Fleming,Big West,D1,Southern Utah,Cal Poly,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern-utah/men/2022.html
Kaleb Brown,Big West,D1,Missouri,Cal State Fullerton,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/missouri/men/2024.html
Isa Silva,Big West,D1,Stanford,Long Beach State,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html
Cam Denson,Big West,D1,Pacific,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html
Dearon Tucker,Big West,D1,Indiana State,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/indiana-state/men/2022.html
Judson Martindale,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html
Paul Bizimana,Big West,D1,Eastern Illinois,Cal Poly,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2023.html
Caleb McCarty,Big West,D1,South Carolina State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-carolina-state/men/2025.html
Ben Shtolzberg,Big West,D1,Creighton,UC Santa Barbara,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/creighton/men/2023.html
Denzel Hines,Big West,D1,Coastal Carolina,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/coastal-carolina/men/2025.html
Jared Barnett,Big West,D1,San Diego State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html
Isaac Spears,Big West,D1,Montana State,Cal Poly,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html
Dylan Godfrey,Big West,D1,Canisius,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/canisius/men/2025.html
Jerome Palm,Big West,D1,Valparaiso,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/valparaiso/men/2024.html
Jalen Myers,Big West,D1,Norfolk State,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2025.html
Festus Ndumanya,Big West,D1,Southern,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern/men/2024.html
Derek Sangster,Big West,D1,Princeton,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/princeton/men/2024.html
Daniel Tobiloba,Big West,D1,South Florida,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-florida/men/2025.html
Vukasin Masic,WCC,D1,Maine,Portland,2021-22,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html
Petar Majstorović,Big West,D1,Syracuse,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html
Lassina Traoré,Big West,D1,Saint Louis,Long Beach State,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html
Tanner Christensen,Big West,D1,Utah Tech,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dixie-state/men/2024.html
T.J. Wainwright,Big West,D1,Robert Morris,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html
Josh O'Garro,Big West,D1,Texas State,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html
Ty Johnson,Big West,D1,Loyola Chicago,UC Davis,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html
Dailin Smith,Big West,D1,Alabama A&M,Cal State Bakersfield,2022-23,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html
Dre Bullock,Big West,D1,South Dakota,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html
Ronald Jessamy,Big West,D1,Tennessee State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html
Marcus Tsohonis,Big West,D1,VCU,Long Beach State,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2022.html
B.J. Kolly,Big West,D1,Montana State,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html
Derrick Michael Xzavierro,Big West,D1,GCU,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024.html
Donovan Oday,Big West,D1,McNeese,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2023.html
Emmanuel Tshimanga,Big West,D1,UC Irvine,UC San Diego,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california-irvine/men/2022.html
Kieves Turner,Big West,D1,San Diego,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego/men/2024.html
Isaiah Lewis,Big West,D1,Little Rock,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2025.html
A.J. George,Big West,D1,SMU,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2025.html
Marcus Greene,Big West,D1,Houston Christian,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/houston-baptist/men/2024.html
Ben Griscti,Big West,D1,Incarnate Word,UC Riverside,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html
"Carl Daughtery, Jr.",Big West,D1,Central Arkansas,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html
Luka Tarlać,Big West,D1,Utah,Cal Poly,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2024.html
"Shay Johnson, Jr.",Big West,D1,San Diego State,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html
Jasman Sangha,Big West,D1,Texas A&M–Corpus Christi,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html
"John Square, Jr.",Big West,D1,Fairleigh Dickinson,Cal State Fullerton,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html
Messiah Thompson,Big West,D1,Alabama A&M,Long Beach State,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html
Aleks Szymczyk,Big West,D1,Charlotte,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html
Matija Svetozarević,Big West,D1,Portland,Hawaii,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/portland/men/2022.html
Tredyn Christensen,WCC,D2,Chaminade,BYU,2021-22,2022-23,target_conference_common_box,https://goswords.com/sports/mens-basketball/stats/2021-22
Alex Leiba,WCC,D2,Penn State Harrisburg,Pepperdine,2023-24,2024-25,target_conference_common_box,https://psuharrisburgsports.com/sports/mens-basketball/stats/2023-24
Noah Jordan,WCC,D2,West Virginia State,Portland,2022-23,2023-24,target_conference_common_box,https://wvsuyellowjackets.com/sports/mens-basketball/stats/2022-23
Elliyas Delaire,WCC,D2,Lewis & Clark,San Diego,2021-22,2022-23,target_conference_common_box,https://lcpioneers.com/sports/mens-basketball/stats/2021-22
PJ Hayes,WCC,D2,Black Hills State,San Diego,2022-23,2023-24,target_conference_common_box,https://bhsuathletics.com/sports/mens-basketball/stats/2022-23
Kody Clouet,WCC,D2,Southeastern Oklahoma State,San Diego,2023-24,2024-25,target_conference_common_box,https://gosoutheastern.com/sports/mens-basketball/stats/2023-24
