target_conference,first_target_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
Mountain West,2022-23,Air Force,Beau Becker,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/beau-becker-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Air Force,Chase Beasley,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/chase-beasley-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Air Force,Kaleb Lichau,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/kaleb-lichau-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Air Force,Josh Gatete,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/josh-gatete-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Air Force,Sam Akinrelere,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/sam-akinrelere-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Boise State,Burke Smith,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/burke-smith-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Boise State,Kobe Young,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/kobe-young-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,Kade Rice,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/kade-rice-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,RJ Keene,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/rj-keene-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,Vince Barringer,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/vince-barringer-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Boise State,Brennan Ramirez,Did not play - manager,,2023-24,https://www.sports-reference.com/cbb/players/brennan-ramirez-1.html,manual_review_prior_school,manual review prior school/level
Mountain West,2024-25,Boise State,Dylan Anderson,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/dylan-anderson-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Boise State,Emmanuel Ugbo,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Boise State,Javan Buchanan,Did not play - non-major team,D2,2023-24,https://www.sports-reference.com/cbb/players/javan-buchanan-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2022-23,Colorado State,Joe Palmer,Did not play - non-major team,D2,2021-22,https://www.sports-reference.com/cbb/players/joe-palmer-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2022-23,Colorado State,Patrick Cartier,Did not play - non-major team,D2,2021-22,https://www.sports-reference.com/cbb/players/patrick-cartier-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Colorado State,Joel Scott,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/joel-scott-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Colorado State,Luke Murphy,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/luke-murphy-3.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Fresno State,Alexander Gorton,Did not play - non-major team,D2,2021-22,https://www.sports-reference.com/cbb/players/alexander-gorton-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2022-23,Fresno State,Jordan Brinson,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/jordan-brinson-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Fresno State,Chase Courtney,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/chase-courtney-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Fresno State,Jalen Weaver,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/jalen-weaver-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Fresno State,Jeff Sims,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/jeff-sims-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Fresno State,Alex Crawford,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Fresno State,Amar Augillard,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/amar-augillard-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Fresno State,Jasir Tremble,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/jasir-tremble-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Fresno State,Mykell Robinson,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/mykell-robinson-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Fresno State,Zaon Collins,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/zaon-collins-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2022-23,Nevada,Nick Davidson,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/nick-davidson-2.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Nevada,Jeriah Coleman,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/jeriah-coleman-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Nevada,Jordan Malmlov,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/jordan-malmlov-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,UNLV,Karl Jones,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/karl-jones-2.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2022-23,UNLV,Nick Walters,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/nick-walters-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,UNLV,Rob Whaley,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/rob-whaley-jr-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,UNLV,Jacob Bannarbie,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/jacob-bannarbie-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,UNLV,Jeremiah Cherry,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/jeremiah-cherry-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,New Mexico,Quinton Webb,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/quinton-webb-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,San Diego State,Jaedon Ledee,Did not play - transfer,,2021-22,https://www.sports-reference.com/cbb/players/jaedon-ledee-1.html,manual_review_prior_school,manual review prior school/level
Mountain West,2023-24,San Diego State,Desai Lopez,Did not play - dnp,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/desai-lopez-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,San Diego State,Ryan Schwarz,Did not play - dnp,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/ryan-schwarz-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,San Diego State,Magoon Gwath,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/magoon-gwath-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,San Jose State,Ryen Perry,Did not play - manager,,2021-22,https://www.sports-reference.com/cbb/players/ryen-perry-1.html,manual_review_prior_school,manual review prior school/level
Mountain West,2022-23,San Jose State,Uchenna Ndigwe,Did not play - manager,,2021-22,https://www.sports-reference.com/cbb/players/uchenna-ndigwe-1.html,manual_review_prior_school,manual review prior school/level
Mountain West,2023-24,San Jose State,William Humer,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/william-humer-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,San Jose State,Robert Vaihola,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/robert-vaihola-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Utah State,Landon Brenchley,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/landon-brenchley-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Utah State,Isaac Johnson,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/isaac-johnson-23.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Utah State,Javon Jackson,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Utah State,Kalifa Sakho,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/kalifa-sakho-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Utah State,Jaxon Smith,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/jaxon-smith-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Wyoming,Akuel Kot,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/akuel-kot-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Wyoming,Kobe Newton,Did not play - juco,JUCO,2022-23,https://www.sports-reference.com/cbb/players/kobe-newton-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Mountain West,2023-24,Wyoming,Mason Walters,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/mason-walters-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Mountain West,2024-25,Wyoming,Abou Magassa,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/abou-magassa-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Wyoming,Levi Brown,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/levi-brown-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Wyoming,Obi Agbim,Did not play - non-major team,D2,2023-24,https://www.sports-reference.com/cbb/players/obi-agbim-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
